id,name,latitude,longitude,country
Q126510698,Autódromo Cabo Negro,-52.96531,-70.83768,CL
Q4827211,Autódromo Chiapas,16.77870,-93.25070,MX
Q4827214,Autódromo Ciudad de Concordia,-31.30806,-58.00502,AR
Q134290220,Autódromo Ciudad de Dolores,-36.32639,-57.69722,AR
Q20022006,Autódromo Ciudad de La Rioja,-29.40528,-66.88083,AR
Q4827216,Autódromo Ciudad de Mar del Plata,-37.99442,-57.63861,AR
Q5712981,Autódromo Ciudad de Nueve de Julio,-35.43484,-60.91337,AR
Q5712984,Autódromo Ciudad de Oberá,-27.49407,-55.17788,AR
Q4827217,Autódromo Ciudad de Paraná,-31.76306,-60.37694,AR
Q17995297,Autódromo Ciudad de Pigüé,-27.49417,-55.17778,AR
Q5712986,Autódromo Ciudad de Rafaela,-31.20750,-61.47639,AR
Q135683855,Autódromo Curacaví,-33.40476,-71.15324,CL
Q789433,Autódromo de Benguela,-12.60104,13.38413,AO
Q16941590,Autódromo de Concepción del Uruguay,-32.45515,-58.31403,AR
Q4827241,Autódromo de León,21.03583,-101.57528,MX
Q138009,Autódromo de Luanda,-9.00964,13.09754,AO
Q5713035,Autódromo de Tocancipá,4.96045,-73.94665,CO
Q20983541,Autódromo Don Eduardo,-32.64013,-61.50711,AR
Q8210040,Autódromo Eduardo Copello,-31.55397,-68.69431,AR
Q116483098,Autódromo Eduardo Prudêncio Cabrera,-30.86288,-55.60660,UY
Q123418321,Autódromo Enrique Freile,-50.32293,-72.15129,AR
Q5712988,Autódromo Eusebio Marcilla,-34.64987,-61.01736,AR
Q111598506,Autódromo Francisco Villa,28.50734,-105.88744,MX
Q4827220,Autódromo General San Martín,-45.90261,-67.54536,AR
Q9639096,Autódromo Geraldo Backer,-20.17558,-40.26565,BR
Q113455971,Autódromo Guadalajara,20.53400,-103.34500,MX
Q2836291,Autódromo Gustavo Felo Rivera,-33.05949,-71.45515,CL
Q173099,Autódromo Hermanos Rodríguez,19.40420,-99.08875,MX
Q2919153,Autódromo Huachalalume La Serena,-29.98189,-71.21824,CL
Q126619477,Autódromo Héctor Supicci Sedes,-31.72528,-55.94278,UY
Q5712995,Autódromo Interlomas,-38.62083,-72.46611,CL
Q4827221,Autódromo Internacional Ayrton Senna,-8.23247,-35.98560,BR
Q4827223,Autódromo Internacional Ayrton Senna,-23.28222,-51.16722,BR
Q789407,Autódromo Internacional Ayrton Senna,-16.71839,-49.19422,BR
Q16489234,Autódromo Internacional de Codegua,-34.03671,-70.63266,CL
Q537078,Autódromo Internacional de Curitiba,-25.44472,-49.19694,BR
Q789413,Autódromo Internacional de Guaporé,-28.84472,-51.85389,BR
Q137177280,Autódromo Internacional de Mato Grosso,-15.45221,-56.08548,BR
Q4827228,Autódromo Internacional de Santa Cruz do Sul,-29.80000,-52.43667,BR
Q4827229,Autódromo Internacional de Tarumã,-30.04861,-51.01917,BR
Q4826252,Autódromo Internacional de Turagua,10.13841,-67.50819,VE
Q789427,Autódromo Internacional do Algarve,37.22940,-8.63053,PT
Q15792225,Autódromo Internacional El Jabalí,13.81002,-89.33196,SV
Q171437,Autódromo Internacional Nelson Piquet,-22.97556,-43.39500,BR
Q173835,Autódromo Internacional Nelson Piquet,-15.77614,-47.90008,BR
Q123473150,Autódromo Internacional Potenza,-21.78972,-43.66306,BR
Q136148154,Autódromo Internacional Simón Bolívar,8.18694,-62.89025,VE
Q16495392,Autódromo Internacional Virgílio Távora,-3.89500,-38.46389,BR
Q4827226,Autódromo Internacional Zilmar Beux - Cascavel/PR,-24.98114,-53.38192,BR
Q4827227,Autódromo Jorge Ángel Pena,-33.05983,-68.49742,AR
Q30904645,Autódromo José Carlos Bassi,-33.68659,-65.49528,AR
Q171387,Autódromo José Carlos Pace,-23.70111,-46.69722,BR
Q2752518,Autódromo Juan Manuel Fangio,-37.88303,-58.26706,AR
Q97182054,Autódromo Juan María Traverso,-33.40013,-60.20374,AR
Q20983542,Autódromo Juan Oria,-32.68400,-62.14892,AR
Q5713001,Autódromo La Chutana,-12.39727,-76.75239,PE
Q30915228,Autódromo La Guácima,9.97324,-84.24963,CR
Q12156002,Autódromo Las Vizcachas,-33.60229,-70.52263,CL
Q5713026,Autódromo Luis Rubén Di Palma,-36.70812,-56.71793,AR
Q2918908,Autódromo Mar y Valle,-43.30153,-65.27150,AR
Q5713007,Autódromo Martín Miguel de Güemes,-24.78187,-65.37568,AR
Q789428,Autódromo Miguel E. Abed,19.03000,-97.98806,MX
Q5713010,Autódromo Moisés Solana,20.05202,-98.68993,MX
Q4827232,Autódromo Monterrey,25.85611,-100.21722,MX
Q5713014,Autódromo Municipal Juan Manuel Fangio,-32.90337,-60.74441,AR
Q4827230,Autódromo Oscar Cabalén,-31.57500,-64.35833,AR
Q30915280,Autódromo Panamá,8.97139,-79.83290,PA
Q4827233,Autódromo Parque Ciudad,-39.07538,-67.57949,AR
